latitude,longitude,area_km2
1671.5,2043.5,0.0427
1659.5,1800.5,0.03705
1648.5,1833.5,0.0356
1591.5,2004.5,0.02455
1584.5,1029.5,0.3287
1381.5,918.5,0.1108
1261.5,889.5,1.33315
1188.5,1697.5,0.04925
1168.5,605.5,0.0879
1165.5,1752.5,0.1279
1127.5,1983.5,0.0209
1077.5,1710.5,0.025
1075.5,1567.5,0.071
1070.5,1443.5,0.3971
1050.5,1857.5,0.34355
1044.5,1707.5,0.02035
1013.5,1771.5,0.37595
919.5,0.5,1.5172
918.5,0.5,21.76695
835.5,732.5,0.043
634.5,1983.5,0.02065
588.5,1859.5,0.0385
427.5,805.5,0.02105
393.5,706.5,0.02385
216.5,1778.5,0.1697
208.5,1295.5,0.0381
159.5,1486.5,0.0473
149.5,390.5,0.02335
148.5,1665.5,0.067
146.5,1398.5,0.02295
144.5,1362.5,0.06155
140.5,1326.5,0.0412
136.5,1514.5,0.25805
131.5,1736.5,0.1039
0.5,260.5,3.8646
0.5,0.5,1.4923
